id,price_doc
30474,4617672.971956766
30475,8171470.538344743
30476,6405753.157750374
30477,7811456.581172289
30478,4378974.162445951
30479,4384730.6339248335
30480,4091179.9230584307
30481,3103025.148156181
30482,8280462.78892372
30483,3654729.4890305875
30484,3833398.1505054105
30485,4507616.705562107
30486,5455676.432834897
30487,5085085.317671116
30488,5404877.971753236
30489,6120792.058655286
30490,9157038.925405944
30491,11563039.921269687
30492,7462435.893374406
30493,10642332.62782209
30494,5740074.796972336
30495,11435613.734369854
30496,8452170.78666258
30497,7973317.027945807
30498,3737293.365244341
30499,10196816.007553078
30500,7095868.144440727
30501,7136211.043562235
30502,3957879.7921114154
30503,5891242.61388379
30504,4628393.866809679
30505,9329283.225566948
30506,4649030.996346978
30507,3569165.744144179
30508,7301002.641415978
30509,6815543.966323368
30510,7162605.13044042
30511,6617861.53640198
30512,5370292.721107814
30513,4753196.77203542
30514,3218948.6743339077
30515,6188327.085661552
30516,8466933.19902483
30517,7059141.922030732
30518,3211437.47392416
30519,4138587.6182087455
30520,3598474.1117679924
30521,5697658.856227401
30522,5347637.798944941
30523,7792224.942575017
30524,7228541.695763053
30525,6532306.285464443
30526,2954089.179831503
30527,6663950.139634296
30528,7019424.656696912
30529,8195997.893150879
30530,5179285.925630587
30531,11485578.833297133
30532,4731695.400661414
30533,9888848.364783349
30534,6869687.627651492
30535,7334673.342084251
30536,6879536.426222032
30537,10731865.815500058
30538,4279036.779146548
30539,7674479.627054201
30540,8242810.814348774
30541,6403899.832718469
30542,2712024.2869188637
30543,6034861.730157478
30544,9413072.504510375
30545,6490749.0340371635
30546,3091315.6323257517
30547,5227383.047265256
30548,3958081.9475734457
30549,4565284.8512088135
30550,10501030.844883436
30551,4731353.055673584
30552,2362232.259521642
30553,7172325.675040534
30554,10385148.857281152
30555,6635197.487245902
30556,3783638.477685962
30557,9903223.252467955
30558,9151793.366421806
30559,4269096.440332986
30560,4687901.945428705
30561,7361299.438983159
30562,7241300.9074919
30563,4729122.14127136
30564,7522071.763174949
30565,10468433.524936644
30566,9375609.214310313
30567,2660281.1340814577
30568,7011694.47107913
30569,8882742.181441622
30570,5746100.953337658
30571,3980312.916963285
30572,3954175.7700452525
30573,5833329.133029362
30574,7956854.100490253
30575,5263799.328094637
30576,7097067.446342783
30577,6640350.201120624
30578,5196214.894348266
30579,7585043.5219203085
30580,4008143.460176671
30581,4640648.843286045
30582,9305007.187876811
30583,6283858.9020807715
30584,4762104.697166499
30585,3989068.1597833466
30586,7316755.835400319
30587,7795427.154584389
30588,5315178.758097766
30589,7285167.034411961
30590,10695729.610920057
30591,6045616.627386909
30592,7794868.411415817
30593,8356030.91307327
30594,7362007.5257312115
30595,5611082.575313197
30596,8541814.416396586
30597,5749272.218555403
30598,7650005.237743922
30599,9642284.188022187
30600,7276439.99240043
30601,7077340.62666028
30602,3119684.710367283
30603,10793106.507881844
30604,4281569.734263767
30605,3674652.3377075205
30606,13583101.926377691
30607,6619058.953594889
30608,8066726.26183261
30609,5923616.555156825
30610,3988684.906447636
30611,5576889.789865861
30612,7009847.15073118
30613,8359808.4523126595
30614,11472215.878219025
30615,8167965.968041375
30616,6122256.421519734
30617,8701400.816918114
30618,4744287.965617937
30619,3572553.466298694
30620,5732983.532051427
30621,6998746.80212841
30622,7073685.279153237
30623,6472952.687503055
30624,6222057.341904868
30625,5385495.435979351
30626,7079948.336831946
30627,8813321.056962162
30628,5163758.218876539
30629,4940131.696309494
30630,3640728.890706583
30631,5478302.03811663
30632,2739579.675593855
30633,4826337.0909029795
30634,11182348.919998005
30635,8042254.523994278
30636,5132854.934116492
30637,6712071.963649938
30638,6398272.617089931
30639,6338322.786045451
30640,3644496.6074127164
