id,price_doc
30474,4626825.507884488
30475,6096240.019470808
30476,5195629.598797237
30477,5591248.549194231
30478,3929806.0286424
30479,6994048.053170501
30480,4706847.714399417
30481,3936186.4845376825
30482,4633167.591026746
30483,3520625.8487931904
30484,4554561.536276472
30485,3759261.448072972
30486,3520873.6408765772
30487,3895357.407973779
30488,4623389.782579568
30489,5872172.694936268
30490,13113621.052477187
30491,13026108.18776575
30492,5217820.2508377535
30493,10746526.52940979
30494,5008961.786891486
30495,8904972.135631705
30496,10130671.636333503
30497,8219660.940912676
30498,3760389.260905671
30499,7909773.962006541
30500,8330321.713216411
30501,5787543.647329652
30502,3265525.448991754
30503,5716171.431943634
30504,4736550.815934541
30505,9096384.661095966
30506,3882007.1240359237
30507,3672672.1476239967
30508,6658725.608202597
30509,5931669.127260432
30510,6787743.41772349
30511,5454117.881803602
30512,5426365.173419212
30513,5173911.329893011
30514,4526679.561387804
30515,6599634.258718812
30516,6340165.182093159
30517,8112297.507166289
30518,5369269.835385103
30519,4202835.614913901
30520,4962829.305243083
30521,4835182.175150677
30522,6126831.1460099295
30523,5474197.960651448
30524,8694453.165429726
30525,7448295.780216946
30526,3349606.489141249
30527,4935139.049704985
30528,6023011.660347483
30529,5858732.64928115
30530,4796002.744252395
30531,10388600.31554958
30532,4545326.420309493
30533,7671829.85083304
30534,5324797.370022979
30535,6743683.539978806
30536,5319037.654733987
30537,9211768.27704489
30538,3904374.691909921
30539,13176240.627836496
30540,7132561.484083702
30541,6477413.030865551
30542,3008785.1661837692
30543,4532087.896401403
30544,7252458.626758952
30545,6286522.085431226
30546,3610354.398929989
30547,6653530.061746591
30548,4263265.869362573
30549,4025376.688550211
30550,8904734.550100408
30551,3790881.431211916
30552,2698829.397340769
30553,6298067.933120916
30554,8626964.637163252
30555,6861976.47479451
30556,6270878.121975305
30557,6806875.04853663
30558,7853432.699407214
30559,4908628.684004958
30560,4803909.640412797
30561,6556824.049041478
30562,8664983.972933218
30563,6606537.104594328
30564,5685399.381960289
30565,7051051.905805483
30566,6465483.894587516
30567,2790237.5429311837
30568,8004500.980870244
30569,8767618.153453054
30570,5465175.040852746
30571,5294965.190558866
30572,3765059.7178788213
30573,5147029.1599475285
30574,5990630.246232652
30575,4709643.583508093
30576,4014407.8409834066
30577,5051913.129791256
30578,4273488.8745699385
30579,6560806.2763220575
30580,4409834.255084533
30581,4232549.980890474
30582,8452184.039631382
30583,5537453.142236212
30584,3787094.598169168
30585,2633532.938088609
30586,8179682.149556645
30587,6509619.36845797
30588,5960307.065689203
30589,6943491.2730408
30590,9570431.491513127
30591,4948192.83006622
30592,5965587.888186177
30593,9245126.506019587
30594,11877009.61728782
30595,4589270.366977507
30596,8294885.448013628
30597,5096326.88102491
30598,6988769.286382126
30599,8616025.165402835
30600,9292177.752030116
30601,4888243.2655817
30602,2705028.3589882595
30603,9523987.901873503
30604,3874675.820597231
30605,4692594.746757973
30606,17483505.741831135
30607,6183586.926093737
30608,5917141.326896905
30609,5814931.052858487
30610,2997693.5619877493
30611,6017533.361730618
30612,6310350.499169368
30613,6969745.09518199
30614,12056721.89900647
30615,7193668.8840003805
30616,5964581.554214092
30617,7242363.879869543
30618,4113328.444449561
30619,6328145.396273291
30620,3761732.8228819384
30621,6745596.802809971
30622,8970066.828752188
30623,5705623.165092878
30624,5394894.671582891
30625,6021085.979026646
30626,5723355.173305741
30627,7980769.985129891
30628,4972828.2318065325
30629,4511283.7659925865
30630,6786161.309174018
30631,4834188.45413148
30632,3464542.0983315157
30633,5206675.733207687
30634,9132491.4807513
30635,7143705.762387482
30636,4513497.128657634
30637,6639665.140777171
30638,5109033.687717169
30639,5682305.703658614
30640,4467799.00764468
30641,8154060.884706154
30642,4938181.805458305
30643,7317813.936329991
30644,7042527.579097723
30645,6228459.113237092
30646,4889274.366841731
30647,3900060.900775619
30648,14929352.45018983
30649,4063858.2111624167
30650,3964732.9510098347
30651,3928061.7689651963
30652,3935327.505745772
30653,5553330.7601258
30654,4815466.0510975225
30655,8190703.163136556
30656,3781534.0061962437
30657,5349427.792357832
30658,7184608.039394372
30659,3517364.8774709054
30660,7253134.9470113935
30661,4431834.696748713
30662,7293475.361815477
30663,14056232.486562598
30664,7842134.182137033
30665,6272608.111822835
30666,3989572.353289245
30667,3632274.7596076797
30668,6692822.636186313
30669,4662168.425455018
30670,2444752.306331157
30671,6042652.031998556
30672,9331476.550510047
